,Recipe name,Ingredients,Carbon emission(kg),Energy(kcal),fat(g),Protein(g),Carbohydrate(g),Serving,Instructions,Prep time(min),Cook time(min),Total time(min),Breakfast,Lunch,Dinner
0,Vegan Pistachio And Orange Baklava,"['200 g Vegan Butter', '200 g Pistachios', '100 g Walnuts', '4 Tablespoons Maple Syrup', '550 g Filo Pastry', '250 g Caster Sugar', '50 ml Maple Syrup', '1/2 Medium Orange', '1/2 Teaspoon Cinnamon', '200 ml Water']",0.23,5344,209.6,116.0,812.8,8,"['Preheat your oven to 180˚c.', 'Pour the walnuts and pistachios into a food processor. Blitz until the nuts resemble a rough crumb. (Don not be tempted to over-process, you will not get enough texture for the end filling).', 'Tip the blended nuts into a small mixing bowl along with the maple syrup. Mix until the syrup is evenly combined with the nuts. Reserve.', 'Cut each pile of filo pastry in half. Select a deep baking tin large enough to fit your filo sheets inside. Brush the base of the tin with a small amount of the vegan butter. Now start to assemble your baklava.', 'Place a sheet of pastry into your baking tray and brush with melted butter. Lay another sheet on top, brush with butter and repeat until one 270g group of filo has been completely used.', 'Spread your syrup nut past over the centre of the pastry leaving a 1/2 inch border round the edge of the pastry. Make sure that you have an even coat of the nut mixture to ensure that the baklava have equal amounts of nut filling.', 'Now take your next pile of filo pastry and repeat the layering process until all the pastry is used up. Pour the remaining butter over the top of the baklava.', 'Using a sharp knife cut the pastry into even squares. The exact size of each baklava is up to you, but I recommend a squares about 1 1/2 inch in size. Press the knife down firmly through the pasty ensuring that it cuts right through to the bottom.', 'Place into the oven and cook for 20 – 25 minutes until the pastry is golden.', 'Whilst the baklava is cooking in the oven place all the ingredients for the orange syrup into a small saucepan and bring to the boil. Turn to a simmer and reduce the contents until the mixture resembles maple syrup.', 'When you remove the cooked baklava from the oven immediately pour the orange syrup over the top of the pastry. Ensure that the syrup coats the pastry entirely, running into any cutting lines.', 'Allow the baklava to sit until completely cool. Serve with a little grated pistachio and orange zest sprinkled over the top.']",60,25,85,0,1,1
1,The Crispiest Vegan Fish And Chips,"['450 g Banana Blossom', '8 g Nori', '2 Teaspoons Old Bay Spice Mixture', '1/2 Teaspoon Mustard Powder', '1 Litre Sunflower Oil (Enough for deep frying)', '230 g Plain Flour', '2 Teaspoons Baking Powder', '300 ml chilled Beer']",0.29,1144,16.8,34.8,194.4,4,"['Take the nori sheets and break into rough pieces. Add the seaweed to a small food processor along with the old bay seasoning and mustard powder. Blitz the seaweed into flakes.', 'Place the banana blossom in a large mixing bowl and sprinkle it with the spiced seaweed flakes. Then cover the blossom with water (about 500ml) and refrigerate for at least an hour.', 'After your banana blossom has finished marinating. Remove from the fridge and drain. Don’t worry about removing any stray seaweed from the blossom as this will impart flavour.', 'Now make your beer batter. Mix together the plain flour and baking powder. Slowly whisk in the beer until you have a smooth and thick batter.', 'Either using a deep frier or heavy pan heat the sunflower oil to 180˚c. When the oil is hot enough take a banana blossom piece and place into the batter. Cover well with the mixture and then place into the hot oil. Fry for about 2 – 3 minutes or until golden brown. Season immediately with salt.', 'Repeat this process until all your banana blossom is fried. You can make larger “fish” pieces by taking two banana blossom pieces and squashing together in your hands. Then cover with batter and place into the hot oil. The batter should act like glue and you’ll have a larger batter piece.', 'Serve with copious amounts of chunky chips and a good squeeze of lemon.']",60,30,90,0,1,0
2,Broad Bean And Basil Risotto,"['300 g Risotto Rice', '170 ml White Wine', '2 Onion', '4 Cloves Garlic', '1 Litre Vegetable Stock', '1 Tablespoon Olive Oil', '200 g Broad Beans (par boiled and shelled)', '150 g Peas', '25 g Mint', '25 g Basil', '2 Tablespoons Olive Oil', '1/2 Lemon (juiced)', '2 Tablespoons Nutritional Yeast']",0.56,2088,48.8,57.2,322.2,4,"['Peel and dice the onion and garlic. Then heat the 2 tablespoons of olive oil in a deep pan over a medium heat. Toss in the onion and garlic and fry for 3 – 4 minutes until soft.', 'Once the onion is cooked. Pour in your rice and then the white wine. Increase the heat of the pan and boil until the wine has completely reduced. Decrease the pan heat back to medium and pour in a few ladles of stock, just covering the rice. Simmer the rice, stirring occasionally, until the stock has reduced. Then ladle in some more stock and repeat the process for about 25 – 30 minutes until the rice is plump but aldente.', 'Whilst the rice is cooking prepare the broad bean puree. Place your broad beans in a small saucepan and cover with boiling water. Simmer for about 3 – 4 minutes until the broad bean skins begin to wrinkle. Take the pan off the heat and drain the broad beans. Leave them to cool are cold enough to handle.', 'Once the broad beans are cool. Take a broad bean and make a small incision on one side of the bean. Then gently squeeze the bean out from its skin. Place the de-skinned bean into a small bowl and repeat the process until all the beans skins have been removed. If you want to save on time you can skip de-skinning the beans. However the puree will be much more bitter. To counteract the flavour you can add a few teaspoons of caster sugar.', 'Place prepared broad beans, along with the rest of the puree ingredients into a blender. Pour in 100ml of water and blitz until a smooth sauce.', 'Once the risotto rice is cooked, stir the puree into the rice. Simmer gently for a few minutes to make sure the puree is warm. Season to taste with salt and black pepper and serve immediately.']",10,30,40,0,1,1
3,Spicy Courgette Fritters,"['2 Medium Courgette', '1 Teaspoon Salt', '65 g Plain Flour', '65 g Gram Flour', '3 Tablespoons Nutritional Yeast', '1 Teaspoon Baking Powder', '2 Cloves Garlic (pressed into a paste)', '2 Large Spring Onions (finely sliced)', '1 Tablespoon Harissa', '1 Teaspoon Cumin', '1 Tablespoon Vegetable Oil']",0.05,865,24.1,42.5,129.0,6,"['Grate the courgette into a mixing and toss with the salt. Allow the courgette to sit for 5 minutes before squeeze the excess moisture out by hand. Return the courgette back to the bowl.', 'Pour the rest of the ingredients into the bowl, except the olive oil, and combine well until everything is evenly incorporated.', 'Divide the mixture into 4 – 6 portions depending on how large or small you want your fritters to be. Take each potion and work in the palm of your hands into a flat patty – around 1/2 inch thick. Place onto a lightly floured surface.', 'Heat the oil in a frying pan over a medium to high heat. Place a few fritters into the pan and cook each side for around 2 minutes or until it begins to take a little colour. Whilst the fritters are cooking, squeeze them down a little in the pan with the back of a spatula to ensure they are nice and flat.', 'Once all of your fritters are cooked serve immediately. You can eat this fritters in wraps, buns, with rice, noodles, basically anything. Go wild!']",15,15,30,1,1,1
4,Creamed Aubergine Wheat With Fried Sugar Snap Peas,"['300 g Peeled Wheat', '1 Large Aubergine', '1 Large Onion', '2 Cloves Garlic', '1 Tablespoon Smoked Paprika', '2 Tablespoons Tomato Paste', '1 Tablespoon Soy Sauce', '400 ml Vegetable Stock', '200 ml Coconut Milk', '4 Tablespoons Olive Oil', '200 g Sugar Snap Peas', '1 Small Red Chilli (Finely Sliced)', '1 Teaspoon Cumin Seeds', '25 g Fresh Coriander (Roughly Chopped)']",0.44,2348,110.5,51.4,311.8,4,"['Place your wheat in a medium saucepan and cover with about a litre of water. Bring to the boil and simmer for about 30 – 35 minutes. At this point the wheat should have swelled and softened, but still have a little bite. Drain and reserve.', 'Peel and finely dice the onion and garlic. Then chop your aubergine into rough 1 inch cubes. Heat 2 tablespoons of olive oil in a large and deep pan over a medium heat and toss in the onion and garlic. Fry for 3 – 4 minutes until the onion is soft.', 'Tip in the aubergine and fry for a few minutes before adding the smoked paprika, tomato paste, soy sauce and vegetable stock. Cook vigorously for around 10 minutes until the sauce is very thick and the aubergine soft.', 'Pour in the coconut milk and season to taste. Then tip in the cooked wheat and mix well. Turn the pan heat to very low to keep the contents warm whilst you prepare the sugar snap peas.', 'Heat the remainder of the olive oil in a large pan over a medium to high heat. Toss in the cumin seeds and toast for a minute or so, then tip in the chopped chilli and fry until the chilli begins to soften. Pour in your sugar snap peas and increase pan heat.Fry on high for 1 – 2 minutes, moving often so the peas don’t catch, then add in the fresh coriander. Cook the pan contents until the coriander has wilted, then spoon out the mixture onto a plate and salt generously with kosher salt. Toss over the aubergine wheat and garnish with the chopped spring onion.']",10,35,40,1,1,1
5,Roasted Veg And Chickpeas With A Parsley Crumb,"['2 Medium Courgettes', '2 Medium Aubergine', '2 Medium Peppers', '2 Medium Red Onion', '500 g Cherry Tomatoes', '6 Cloves Garlic', '240 g Cooked Chickpeas (one 400g tin drained)', '6 Teaspoons Dried Thyme', '1 Teaspoon Cumin Seeds', '1 Teaspoon Chilli Flakes', '4 Tablespoons Olive Oil', '1 Lemon (juiced)', '75 g Stale White Bread', '50 g Parsley']",0.56,2165,80.8,80.2,308.1,4,"['Preheat your oven to 200˚c.', 'Roughly chop your courgettes, aubergine and peppers into even chunks, ensuring to remove the core of the pepper. There is no hard and fast rule for how large these chunks should be. I like to make mine about thumb size thickness and length. Place the chopped vegetables along with the cherry tomatoes onto a large oven tray. Peel and smash the 4 garlic cloves and place amongst the vegetables.', 'Cover the vegetables with the spices, olive oil and a good helping of kosher salt. Toss the vegetables to ensure and even coating of spices and oil. Roast in the oven for 40 minutes until the vegetables have softened and are beginning to blacken a little.', 'Whilst your vegetables are cooking prepare the parsley crumb. Tear the stale bread into even thumb sized chunks and place onto a roasting tray, sprinkle with the chopped garlic and a little salt then drizzle with the olive oil. Roast in the oven for 10 minutes (you can do this alongside the vegetables) until the bread is crispy and golden brown. Remove and allow to cool for 5 minutes.', 'Place the roasted bread and garlic in a food processor along with the fresh parsley (stalks and all) and blitz until the a fine breadcrumb. Remove and place back onto the roasting tray to dry a little more.', 'One the roasted vegetables are cooked. Remove from the oven and combine with the chickpeas and the lemon juice. Place back in the oven for 2 – 3 minutes to heat through the chickpeas.', 'Heap the parsley crumb over the top of the roasted vegetables and serve immediately.']",10,40,50,0,0,1
6,Herby Pea Pilaf,"['400 g Long Grain Rice', '1 Teaspoon Cumin Seeds', '1/2 Teaspoon Chilli Flakes', '2 Cloves Garlic', '1 Tablespoon Sumac', '8 Tablespoons Sunflower Oil', '2 Banana Shallots', '250 g Green Beans', '200 g Frozen Peas', '50 g Fresh Basil', '50 g Fresh Coriander', '25 g Fresh Mint', '2 Tablespoons White Miso Paste', '2 Tablespoons Olive Oil']",0.3,3337,180.4,51.5,379.5,6,"['First prepare your rice. Place the rice into a medium pan and cover with water. Then agitate with your hands until the water turns cloudy. Strain the water through a fine sieve or colander and repeat the process for 4 – 5 times until the water starts to turn less cloudy. Cover the rice with about 700 ml of salted water. Bring to the boil and simmer for 20 minutes or until the rice is cooked and fluffy. Remove the pan from the heat and wash the rice in cold water. Reserve.', 'Whilst your rice is cooking make your pea sauce. Remove the stems from the mint and place the leaves into a food blender along with the rest of the sauce ingredients and 200ml of cold water. Blitz until the sauce is smooth.', 'Next fry the shallots. Chop the shallots into thin slices. Heat 6 tablespoons of the sunflower oil in a deep heavy pan over a medium high heat. Once the oil is hot enough, toss in the shallots and fry for about 2 – 3 minutes or until they have begun to brown. Remove the shallots with a slotted spoon and place onto a plate covered with a kitchen towel. Salt immediately.', 'Finely dice the onion and garlic. Then heat the remaining sunflower oil in a large, deep frying pan over a medium heat. Toss in the cumin and chilli flakes and toast for 1 minute before adding the onion and garlic. Fry for 4 – 5 minutes or until the onion is soft and see-through.', 'Tip the cooked rice into the pan and increase the heat. Fry for a further 3 – 4 minutes or until the bottom of the rice starts to brown and crisp. At this point pour in the pea sauce and stir into the rice. Heat through the sauce for another couple of minutes and season the rice to taste.', 'Top and tail your green beans. Bring 200ml of water to the boil and toss in the green beans. Boil vigorously for 2-3 minutes until the beans are soft with a little bite. Once cooked, arrange the beans over the rice and coat with the fried shallots. Sprinkle the sumac over the top of the dish to finish. Serve immediately.']",10,25,35,0,1,1
7,Onion Bhajis (Plain Flour Recipe),"['4 Medium Red Onions', '200 ml Sunflower Oil', '150 g Plain Flour', '2 Teaspoons Turmeric', '2 Teaspoons Garlic Powder', '2 Teaspoons Cumin Powder', '1 Teaspoon Paprika', '1 Teaspoon Ginger Powder']",0.18,1226,53.7,22.8,166.8,5,"['Peel and chop the red onions in half. Then finely slice them into thin half moon crescents.', 'Mix all the batter ingredients together in a large mixing bowl. Then, whilst whisking the bowl contents, pour over 170 ml of water. Mix until the batter is smooth. It should be thick and gloopy.', 'Tip the chopped red onion into the mixing bowl. Mix well until the red onions are well incorporated into the batter.', 'Ready an oven tray or large chopping board. Then scoop a 2 inch ball of bhaji batter out of the mixing bowl and shape into a rough patty with your hands. Place the patty onto your tray or board. The patty should be about 4 – 5 cm in width. With patties this size you should get 12 shaped bhajis out of the batter, but, feel free to make them as big or small as you want.', 'Once all the bhajis are shaped. Heat the 200 ml of oil in a large heavy pan over a medium-high heat. I like to use a dutch oven or Le Creuset pot. After a few minutes, pluck an excess red onion slice from your batter bowl or one of your bhajis, and toss into the pan. Once the red onion starts to vigorously bubble and fry, your oil is hot enough to cook with.', 'Using a metal spatula, scrape about 4 – 5 bhajis (one at a time) into your pan. Fry them for about 1 – 2 minutes or until the underside begins to crisp and take on a lovely golden yellow colour. Flip the bhajis and cook the opposite side for 1 – 2 minutes more. When cooked, remove and place onto a fresh oven tray, salt immediately. Repeat the process until all your bhajis are fried.']",5,15,20,1,0,0
8,Spiced Couscous Salad With Crispy Spring Onions,"['150 g Couscous', '1 Large Cucumber', '300 g Cherry Tomatoes', '20 g Mint', '2 Medium Heads Leaf Lettuce', '4 Spring Onions', '6 Tablespoons Sunflower Oil', '2 Teaspoons Zatar', '2 Teaspoons Sugar', '1 Teaspoon Allspice', '4 Tablespoons Olive Oil', '1 Teaspoon Sumac', '1 Clove Garlic', '1 Teaspoon Salt', '1 Tablespoon Sherry Vinegar']",0.33,2083,147.4,28.8,175.4,4,"['Place the couscous in a saucepan and pour over 250 ml of boiling water. Cover and leave for 5 minutes after which it should be soft and fluffy. Fluff with a fork and allow to cool.', 'Grate the cucumber into a small mixing bowl. Mix in 1 tsp of table salt. Let the cucumber stand for 5 minutes, then squeeze the excess water out of the cucumber. Placing back into the mixing bowl.', 'Shred the lettuce into thumb sized pieces, wash and place into a large mixing bowl. Chop and quarter the cherry tomatoes and add to the lettuce bowl. Roughly chop the mint and toss into the bowl along with the cooked couscous. Combine the salad well with your hands.', 'Chop you spring onions into thin slices then heat the sunflower oil in a deep pan over a medium high heat. Toss in the spring onions and cook for 1 – 2 minutes until golden brown and crispy. Remove the spring onions and season with kosher salt and black pepper.', 'Next make your dressing. Mash together the garlic clove into a paste. Then mix, along with the rest of the dressing ingredients in a small jug. Pour over the mixed salad and toss again with your hands until well combined.', 'Serve the salad with the crispy spring onions sprinkled over the top along with any extra mint leaves.']",15,10,25,1,1,1
9,Smoked Tofu Kedgeree,"['1 Teaspoon Coriander Seeds', '1 Teaspoon Cumin Seeds', '1/2 Teaspoon Chilli Powder', '1/2 Teaspoon Cinnamon Powder', '1 Teaspoon Turmeric', '300 g Long Grain Rice', '1 Large Onion', '4 Cloves Garlic', '25 g Fresh Coriander', '4 Tablespoons Sunflower Oil', '225 g Smoked Tofu (plain tofu works just as well)']",0.29,1619,27.4,67.4,269.6,4,"['Prep your rice, If you’re not using leftovers. Rinse your rice. Place the rice into a medium pan and cover with water. Then agitate with your hands until the water turns cloudy. Strain the water through a fine sieve or colander and repeat the process for 4 – 5 times until the water starts to turn less cloudy. Cover the rice with about 700 ml of salted water. Bring to the boil and simmer for 20 minutes or until the rice is cooked and fluffy. Remove the pan from the heat and wash the rice in cold water. Reserve.', 'Whilst your rice is cooking press and prep the tofu. After removing as much water as you can, slice into 1/2 cm thick pieces. Place on the side till later.', 'Peel and dice the onion and garlic. Then heat 2 tablespoons of the sunflower in a large deep frying pan over a medium heat. Toast the cumin and coriander seeds for about a minute then add the onion and garlic. Fry for about 3 – 4 minutes until the onion is soft and see-through.', 'Once the onion is cooked, tip in the cinnamon, chilli and turmeric and mix with the onion. Next pour in your cooked rice and mix until well combined with the spices and onion. Cook for a further 2 – 3 minutes, stirring often until the rice is sufficiently warmed through. Season the rice to taste. Remove from the heat.', 'Heat the remaining sunflower oil in a small frying pan over a high heat and cook the tofu. Fry each side for 1 – 2 minutes until it begins to take some colour.', 'Serve the rice with fried tofu arranged over it, with the fresh coriander chopped and sprinkled on top.']",5,20,25,1,1,1
